,clean_machine,process_number,label,time_frame,filename,vibration_data
M01_OP10_good_Feb_2019_M01_Feb_2019_OP10_002,M01,OP10,good,Feb_2019,M01_Feb_2019_OP10_002.h5,"[[   13.    39. -1046.]
 [   19.    29. -1034.]
 [   15.    42. -1040.]
 ...
 [   46.    54. -1032.]
 [  -17.    64. -1032.]
 [    3.    60. -1009.]]"
M01_OP10_good_Feb_2020_M01_Feb_2020_OP10_000,M01,OP10,good,Feb_2020,M01_Feb_2020_OP10_000.h5,"[[   -5    21 -1015]
 [  -15    44 -1013]
 [  -13    13 -1013]
 ...
 [   -3    44  -999]
 [   -7    37 -1003]
 [   -1    17 -1009]]"
M01_OP10_good_Feb_2020_M01_Feb_2020_OP10_001,M01,OP10,good,Feb_2020,M01_Feb_2020_OP10_001.h5,"[[   -1    17 -1020]
 [   -9    39 -1018]
 [    0    21 -1018]
 ...
 [   -5    33 -1011]
 [    0    11 -1018]
 [  -13    40 -1018]]"
M01_OP10_good_Feb_2020_M01_Feb_2020_OP10_002,M01,OP10,good,Feb_2020,M01_Feb_2020_OP10_002.h5,"[[   -9    33 -1015]
 [  -15    21 -1018]
 [  -15    29 -1011]
 ...
 [  -11    29 -1013]
 [  -19    50 -1015]
 [  -15    33 -1015]]"
M01_OP10_good_Feb_2020_M01_Feb_2020_OP10_003,M01,OP10,good,Feb_2020,M01_Feb_2020_OP10_003.h5,"[[  -13    25 -1007]
 [  -21    44 -1013]
 [   -9    19 -1013]
 ...
 [  -21    25 -1001]
 [  -11     3 -1007]
 [  -11    23 -1007]]"
M01_OP10_good_Feb_2021_M01_Feb_2021_OP10_000,M01,OP10,good,Feb_2021,M01_Feb_2021_OP10_000.h5,"[[  -23    21 -1020]
 [   -3    13 -1007]
 [  -15    29 -1018]
 ...
 [  -25    15 -1011]
 [  -15    33 -1009]
 [  -13    25 -1005]]"
M01_OP10_good_Feb_2021_M01_Feb_2021_OP10_001,M01,OP10,good,Feb_2021,M01_Feb_2021_OP10_001.h5,"[[  -11     0 -1016]
 [  -19    17 -1011]
 [  -25    23 -1015]
 ...
 [  -21   -21 -1011]
 [  -11    29 -1015]
 [    9    31 -1018]]"
M01_OP10_good_Feb_2021_M01_Feb_2021_OP10_002,M01,OP10,good,Feb_2021,M01_Feb_2021_OP10_002.h5,"[[   -7     7 -1020]
 [  -13    37 -1032]
 [   -9    35 -1020]
 ...
 [  -23    19 -1007]
 [  -25    29 -1016]
 [  -11    42 -1009]]"
M01_OP10_good_Feb_2021_M01_Feb_2021_OP10_003,M01,OP10,good,Feb_2021,M01_Feb_2021_OP10_003.h5,"[[  -25    31 -1009]
 [  -33    37 -1018]
 [  -27    17 -1011]
 ...
 [  -37    44 -1003]
 [  -40    50 -1013]
 [  -31    -3 -1024]]"
M01_OP10_good_Feb_2021_M01_Feb_2021_OP10_004,M01,OP10,good,Feb_2021,M01_Feb_2021_OP10_004.h5,"[[    7    29 -1011]
 [  -13    15 -1007]
 [    0    25 -1007]
 ...
 [  -13    33 -1018]
 [  -17    13 -1020]
 [   -7     9 -1013]]"
M01_OP10_good_Feb_2021_M01_Feb_2021_OP10_005,M01,OP10,good,Feb_2021,M01_Feb_2021_OP10_005.h5,"[[   -1    48 -1005]
 [  -25    35 -1013]
 [   11    29 -1005]
 ...
 [  -25    35 -1001]
 [  -27    11 -1005]
 [  -50    21 -1011]]"
M01_OP10_good_Feb_2021_M01_Feb_2021_OP10_006,M01,OP10,good,Feb_2021,M01_Feb_2021_OP10_006.h5,"[[  -15    35 -1018]
 [  -29    27 -1005]
 [  -27    25 -1013]
 ...
 [    5    29 -1001]
 [  -25    15 -1020]
 [  -21    40 -1011]]"
M01_OP10_good_Feb_2021_M01_Feb_2021_OP10_007,M01,OP10,good,Feb_2021,M01_Feb_2021_OP10_007.h5,"[[  -17    33 -1016]
 [   -5    15 -1007]
 [  -23    25 -1015]
 ...
 [   -7    29 -1015]
 [  -25    21 -1015]
 [    1    13 -1009]]"
M01_OP11_bad_Feb_2019_M01_Feb_2019_OP11_000,M01,OP11,bad,Feb_2019,M01_Feb_2019_OP11_000.h5,"[[  -46.   -13. -1085.]
 [  -81.   -68. -1063.]
 [ -128.   -64. -1011.]
 ...
 [   21.  -388.  -915.]
 [   35.   240.  -915.]
 [  -81.   220. -1052.]]"
M01_OP11_bad_Feb_2019_M01_Feb_2019_OP11_001,M01,OP11,bad,Feb_2019,M01_Feb_2019_OP11_001.h5,"[[   44.  -144. -1231.]
 [ -134.    50.  -981.]
 [  126.   -87. -1143.]
 ...
 [   29.   310. -1065.]
 [  -85.   320. -1085.]
 [  -50.    39. -1097.]]"
M01_OP11_bad_Feb_2019_M01_Feb_2019_OP11_002,M01,OP11,bad,Feb_2019,M01_Feb_2019_OP11_002.h5,"[[   56.    66. -1020.]
 [  -25.    15. -1024.]
 [   64.   107. -1083.]
 ...
 [  -13.   206. -1161.]
 [  -19.   232. -1005.]
 [ -136.   -44. -1167.]]"
M01_OP11_bad_Feb_2021_M01_Feb_2021_OP11_000,M01,OP11,bad,Feb_2021,M01_Feb_2021_OP11_000.h5,"[[  -91   534  -468]
 [   60   361 -1180]
 [ -560   462 -1672]
 ...
 [  -42   302 -1434]
 [ -179   204 -1624]
 [   39    -7 -1610]]"
M01_OP11_good_Aug_2019_M01_Aug_2019_OP11_000,M01,OP11,good,Aug_2019,M01_Aug_2019_OP11_000.h5,"[[  -21.    29. -1016.]
 [  -25.    29. -1011.]
 [  -13.    19. -1009.]
 ...
 [  -31.    17. -1016.]
 [  -17.     5. -1024.]
 [  -13.    23. -1024.]]"
M01_OP11_good_Aug_2019_M01_Aug_2019_OP11_001,M01,OP11,good,Aug_2019,M01_Aug_2019_OP11_001.h5,"[[   -7.    19. -1005.]
 [  -17.    15. -1013.]
 [  -15.    23. -1013.]
 ...
 [   -3.    25. -1022.]
 [   -9.    35. -1013.]
 [  -11.    27. -1015.]]"
M01_OP11_good_Aug_2019_M01_Aug_2019_OP11_002,M01,OP11,good,Aug_2019,M01_Aug_2019_OP11_002.h5,"[[  -11.    27. -1018.]
 [   -7.    31. -1015.]
 [  -17.    25. -1011.]
 ...
 [  -29.    40. -1015.]
 [  -17.    35. -1009.]
 [  -39.    35. -1015.]]"
M01_OP11_good_Aug_2019_M01_Aug_2019_OP11_003,M01,OP11,good,Aug_2019,M01_Aug_2019_OP11_003.h5,"[[ 1.000e+00  1.900e+01 -1.020e+03]
 [-1.900e+01  2.900e+01 -1.016e+03]
 [-9.000e+00  1.500e+01 -1.013e+03]
 ...
 [-2.300e+01  2.300e+01 -1.011e+03]
 [-2.300e+01  2.500e+01 -1.015e+03]
 [-9.000e+00  2.100e+01 -1.016e+03]]"
M01_OP11_good_Aug_2021_M01_Aug_2021_OP11_000,M01,OP11,good,Aug_2021,M01_Aug_2021_OP11_000.h5,"[[  -11    25 -1005]
 [  -33    23 -1016]
 [  -23    52 -1016]
 ...
 [  -29    11 -1024]
 [   -1    35  -999]
 [  -31    21 -1026]]"
M01_OP11_good_Feb_2019_M01_Feb_2019_OP11_000,M01,OP11,good,Feb_2019,M01_Feb_2019_OP11_000.h5,"[[    5.    39. -1038.]
 [   13.    33. -1036.]
 [   11.    33. -1044.]
 ...
 [    9.    39. -1034.]
 [    9.    40. -1024.]
 [    7.    39. -1030.]]"
M01_OP11_good_Feb_2019_M01_Feb_2019_OP11_001,M01,OP11,good,Feb_2019,M01_Feb_2019_OP11_001.h5,"[[    9.    37. -1040.]
 [    5.    39. -1034.]
 [    5.    27. -1036.]
 ...
 [   15.    31. -1044.]
 [   11.    27. -1030.]
 [   15.    42. -1036.]]"
M01_OP11_good_Feb_2019_M01_Feb_2019_OP11_002,M01,OP11,good,Feb_2019,M01_Feb_2019_OP11_002.h5,"[[   19.    11. -1046.]
 [    7.    29. -1036.]
 [    9.    37. -1036.]
 ...
 [   15.    25. -1042.]
 [   19.    33. -1044.]
 [   17.    29. -1046.]]"
M01_OP11_good_Feb_2020_M01_Feb_2020_OP11_000,M01,OP11,good,Feb_2020,M01_Feb_2020_OP11_000.h5,"[[   -7    31 -1009]
 [  -13    19 -1013]
 [   -9    25 -1009]
 ...
 [    1    13 -1007]
 [  -13    35 -1018]
 [   -3    33 -1022]]"
M01_OP11_good_Feb_2020_M01_Feb_2020_OP11_001,M01,OP11,good,Feb_2020,M01_Feb_2020_OP11_001.h5,"[[   -3    39 -1005]
 [   -1    11 -1013]
 [  -25    21 -1015]
 ...
 [   -7    21 -1018]
 [   -9    13 -1013]
 [  -29    40 -1016]]"
M01_OP11_good_Feb_2020_M01_Feb_2020_OP11_002,M01,OP11,good,Feb_2020,M01_Feb_2020_OP11_002.h5,"[[  -11    27 -1020]
 [  -19    39 -1020]
 [  -13    39 -1013]
 ...
 [  -27    39 -1005]
 [  -11    33 -1009]
 [  -15    15 -1016]]"
M01_OP11_good_Feb_2020_M01_Feb_2020_OP11_003,M01,OP11,good,Feb_2020,M01_Feb_2020_OP11_003.h5,"[[    3    35 -1005]
 [   -3    31 -1009]
 [  -11    27 -1016]
 ...
 [  -13    15 -1018]
 [  -13    21 -1011]
 [  -17    33 -1015]]"
M01_OP11_good_Feb_2021_M01_Feb_2021_OP11_000,M01,OP11,good,Feb_2021,M01_Feb_2021_OP11_000.h5,"[[   -7    15 -1020]
 [   -7    27 -1009]
 [  -15    19 -1015]
 ...
 [    5    44 -1009]
 [  -19    19 -1018]
 [   -7    17 -1009]]"
M01_OP11_good_Feb_2021_M01_Feb_2021_OP11_001,M01,OP11,good,Feb_2021,M01_Feb_2021_OP11_001.h5,"[[  -37     9 -1022]
 [  -37     9 -1015]
 [   -9    15 -1015]
 ...
 [   -9    -3 -1011]
 [    3    23 -1018]
 [  -17    13 -1016]]"
M01_OP11_good_Feb_2021_M01_Feb_2021_OP11_002,M01,OP11,good,Feb_2021,M01_Feb_2021_OP11_002.h5,"[[  -29    37 -1011]
 [   -9    11 -1009]
 [    9    19 -1015]
 ...
 [  -33    21 -1005]
 [  -13    15 -1009]
 [  -15    27 -1007]]"
M01_OP11_good_Feb_2021_M01_Feb_2021_OP11_007,M01,OP11,good,Feb_2021,M01_Feb_2021_OP11_007.h5,"[[  -21    15 -1011]
 [  -19     9 -1009]
 [  -21    11 -1009]
 ...
 [  -15    19 -1016]
 [   13    27 -1007]
 [  -48    19 -1022]]"
M01_OP11_good_Feb_2021_M01_Feb_2021_OP11_008,M01,OP11,good,Feb_2021,M01_Feb_2021_OP11_008.h5,"[[   -7    25 -1028]
 [  -15    31 -1015]
 [   -3    13 -1015]
 ...
 [   -7    33 -1016]
 [  -21    11 -1016]
 [  -11     5 -1024]]"
M01_OP12_bad_Feb_2019_M01_Feb_2019_OP12_000,M01,OP12,bad,Feb_2019,M01_Feb_2019_OP12_000.h5,"[[    5.    42.  -987.]
 [  -17.    13. -1161.]
 [  -29.   124. -1061.]
 ...
 [  -17.   -87. -1030.]
 [   15.  -134.  -987.]
 [  -44.    81.  -985.]]"
M01_OP12_bad_Feb_2019_M01_Feb_2019_OP12_001,M01,OP12,bad,Feb_2019,M01_Feb_2019_OP12_001.h5,"[[ 1.050e+02 -8.900e+01 -8.880e+02]
 [-1.000e+00  2.420e+02 -8.880e+02]
 [-2.900e+01 -1.580e+02 -1.325e+03]
 ...
 [ 7.600e+01 -5.800e+01 -1.044e+03]
 [-1.900e+01  1.360e+02 -9.740e+02]
 [ 9.100e+01  5.200e+01 -1.057e+03]]"
M01_OP12_bad_Feb_2019_M01_Feb_2019_OP12_002,M01,OP12,bad,Feb_2019,M01_Feb_2019_OP12_002.h5,"[[   42.    15. -1091.]
 [  -15.    70.  -989.]
 [  -50.    93. -1022.]
 ...
 [  -48.   277. -1122.]
 [   70.     9. -1067.]
 [  -23.  -115.  -993.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_000,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_000.h5,"[[  -15.    42. -1013.]
 [  -15.    21. -1013.]
 [  -17.    19. -1022.]
 ...
 [  -11.    33. -1016.]
 [  -13.    31. -1015.]
 [  -19.    15. -1007.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_001,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_001.h5,"[[  -25.    33. -1044.]
 [  -46.    19. -1040.]
 [  -29.    21. -1009.]
 ...
 [  -17.    37. -1016.]
 [  -15.    15. -1016.]
 [   -9.    21. -1024.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_002,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_002.h5,"[[  -13.    15. -1020.]
 [  -17.    35. -1007.]
 [  -21.    27. -1020.]
 ...
 [  -21.    29. -1026.]
 [   -3.    37. -1020.]
 [   -5.    27. -1018.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_003,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_003.h5,"[[  -23.     3. -1015.]
 [   -7.    11. -1009.]
 [   -7.    27. -1005.]
 ...
 [    0.     9. -1009.]
 [  -19.    15. -1026.]
 [   -5.    37. -1013.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_004,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_004.h5,"[[   -7.    35. -1020.]
 [  -13.    23. -1013.]
 [  -11.    25. -1015.]
 ...
 [   27.    46. -1028.]
 [   83.    46. -1009.]
 [   21.    -7. -1036.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_005,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_005.h5,"[[   -9.    19. -1016.]
 [   -7.    19. -1030.]
 [  -17.    19. -1022.]
 ...
 [   -7.    35. -1016.]
 [  -13.    31. -1015.]
 [  -19.    25. -1015.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_006,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_006.h5,"[[   15.    19. -1018.]
 [   21.    13. -1020.]
 [   21.     5. -1011.]
 ...
 [   29.    11. -1016.]
 [   21.    15. -1020.]
 [   21.    27. -1018.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_007,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_007.h5,"[[  -21.    21. -1005.]
 [  -23.    31. -1022.]
 [  -19.    19. -1013.]
 ...
 [  -21.    19. -1022.]
 [   -9.    44. -1022.]
 [   -9.    31. -1028.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_008,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_008.h5,"[[   -9.    21. -1016.]
 [   -9.    25. -1015.]
 [   -9.    21. -1016.]
 ...
 [  -17.    19. -1009.]
 [  -11.    25. -1018.]
 [  -13.    25. -1016.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_009,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_009.h5,"[[  -11.    35. -1009.]
 [    5.    23. -1009.]
 [  -21.     9. -1011.]
 ...
 [   -5.     7. -1024.]
 [  -17.    29. -1016.]
 [  -17.    23. -1015.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_010,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_010.h5,"[[   -9.    21. -1018.]
 [   -5.    21. -1018.]
 [  -17.    21. -1015.]
 ...
 [  -15.    25. -1015.]
 [   -9.    25. -1015.]
 [   -3.    29. -1016.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_011,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_011.h5,"[[  -15.    29. -1009.]
 [  -21.    35. -1003.]
 [  -25.    29. -1016.]
 ...
 [   -7.    19. -1018.]
 [  -15.    33. -1007.]
 [   -9.    31. -1022.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_012,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_012.h5,"[[    5.    25. -1026.]
 [    3.    21. -1020.]
 [  -19.   -19. -1020.]
 ...
 [   -3.    25. -1018.]
 [  -21.    29. -1015.]
 [  -15.    40. -1016.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_013,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_013.h5,"[[-1.900e+01  5.000e+00 -1.005e+03]
 [-1.300e+01  1.500e+01 -1.003e+03]
 [-1.700e+01  2.700e+01 -1.007e+03]
 ...
 [ 3.700e+01  1.900e+01 -1.009e+03]
 [ 3.700e+01  1.000e+00 -1.005e+03]
 [ 3.100e+01  4.600e+01 -9.790e+02]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_014,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_014.h5,"[[-1.100e+01  2.700e+01 -1.013e+03]
 [-1.900e+01  2.900e+01 -1.011e+03]
 [ 1.000e+00  1.500e+01 -1.015e+03]
 ...
 [-1.300e+01  4.000e+01 -1.015e+03]
 [-2.300e+01  2.300e+01 -1.030e+03]
 [-2.100e+01  2.700e+01 -1.020e+03]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_015,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_015.h5,"[[    7.    23. -1026.]
 [   -5.     0. -1011.]
 [  -27.    15. -1016.]
 ...
 [   -3.    31. -1009.]
 [    0.    33. -1015.]
 [  -17.    25. -1018.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_016,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_016.h5,"[[  -15.    29. -1026.]
 [  -19.    21. -1020.]
 [  -11.     3. -1020.]
 ...
 [   -9.    17. -1016.]
 [  -15.     5. -1003.]
 [  -33.    15. -1013.]]"
M01_OP12_good_Aug_2019_M01_Aug_2019_OP12_017,M01,OP12,good,Aug_2019,M01_Aug_2019_OP12_017.h5,"[[ 1.000e+00  2.100e+01 -1.015e+03]
 [-3.000e+00  1.900e+01 -1.018e+03]
 [-1.500e+01  1.900e+01 -1.016e+03]
 ...
 [-1.500e+01  3.100e+01 -1.020e+03]
 [-1.900e+01  3.100e+01 -1.005e+03]
 [-1.900e+01  1.900e+01 -1.015e+03]]"
M01_OP12_good_Feb_2019_M01_Feb_2019_OP12_000,M01,OP12,good,Feb_2019,M01_Feb_2019_OP12_000.h5,"[[ 1.000e+00  2.900e+01 -1.038e+03]
 [ 9.000e+00  3.900e+01 -1.040e+03]
 [ 9.000e+00  3.300e+01 -1.032e+03]
 ...
 [ 1.700e+01  1.500e+01 -1.046e+03]
 [ 3.000e+00  5.200e+01 -1.044e+03]
 [ 1.900e+01  3.300e+01 -1.036e+03]]"
M01_OP12_good_Feb_2019_M01_Feb_2019_OP12_001,M01,OP12,good,Feb_2019,M01_Feb_2019_OP12_001.h5,"[[    3.    23. -1038.]
 [    9.    29. -1036.]
 [   -3.    33. -1038.]
 ...
 [   56.    29. -1009.]
 [  -62.    19. -1065.]
 [   74.    52. -1007.]]"
M01_OP12_good_Feb_2019_M01_Feb_2019_OP12_002,M01,OP12,good,Feb_2019,M01_Feb_2019_OP12_002.h5,"[[   17.    31. -1036.]
 [   21.    29. -1044.]
 [   17.    23. -1044.]
 ...
 [   17.    33. -1044.]
 [   21.    13. -1050.]
 [    9.    23. -1042.]]"
M01_OP12_good_Feb_2020_M01_Feb_2020_OP12_000,M01,OP12,good,Feb_2020,M01_Feb_2020_OP12_000.h5,"[[  -19    23 -1015]
 [  -15    42 -1022]
 [  -37    40 -1022]
 ...
 [  -21    35 -1015]
 [  -19    35 -1026]
 [  -21    37 -1015]]"
M01_OP12_good_Feb_2020_M01_Feb_2020_OP12_001,M01,OP12,good,Feb_2020,M01_Feb_2020_OP12_001.h5,"[[  -19    40 -1007]
 [  -11    15 -1022]
 [  -25    37 -1016]
 ...
 [  -39     3 -1046]
 [  -17     7 -1050]
 [  -15     7 -1038]]"
M01_OP12_good_Feb_2020_M01_Feb_2020_OP12_002,M01,OP12,good,Feb_2020,M01_Feb_2020_OP12_002.h5,"[[  -15    19 -1005]
 [   -9    13 -1011]
 [  -33    29 -1016]
 ...
 [   -9     3 -1018]
 [  -19    33 -1015]
 [  -19    39 -1018]]"
M01_OP12_good_Feb_2020_M01_Feb_2020_OP12_003,M01,OP12,good,Feb_2020,M01_Feb_2020_OP12_003.h5,"[[    3    39 -1022]
 [   -7    19 -1022]
 [   11    -5 -1001]
 ...
 [   46     9 -1009]
 [   50    17  -991]
 [   48    15  -999]]"
M01_OP12_good_Feb_2021_M01_Feb_2021_OP12_000,M01,OP12,good,Feb_2021,M01_Feb_2021_OP12_000.h5,"[[  -21    76 -1022]
 [   11    42 -1022]
 [   -7    21 -1028]
 ...
 [  -44    21 -1013]
 [    3    29 -1011]
 [  -19    17 -1022]]"
M01_OP12_good_Feb_2021_M01_Feb_2021_OP12_001,M01,OP12,good,Feb_2021,M01_Feb_2021_OP12_001.h5,"[[  -17     5 -1016]
 [   -9    31 -1015]
 [   -3    25 -1011]
 ...
 [  -13    13 -1011]
 [  -23    31 -1011]
 [  -19    25 -1011]]"
M01_OP12_good_Feb_2021_M01_Feb_2021_OP12_002,M01,OP12,good,Feb_2021,M01_Feb_2021_OP12_002.h5,"[[   -5     9 -1020]
 [  -13    31 -1015]
 [  -23    11 -1013]
 ...
 [   -7    19 -1011]
 [   -9     7 -1007]
 [  -27    31 -1009]]"
M01_OP12_good_Feb_2021_M01_Feb_2021_OP12_003,M01,OP12,good,Feb_2021,M01_Feb_2021_OP12_003.h5,"[[  -17    29 -1007]
 [  -21    13 -1009]
 [  -19    25 -1018]
 ...
 [  -11    15 -1016]
 [  -21    27 -1016]
 [  -25    21 -1018]]"
M01_OP12_good_Feb_2021_M01_Feb_2021_OP12_004,M01,OP12,good,Feb_2021,M01_Feb_2021_OP12_004.h5,"[[  -17    17 -1003]
 [  -25    23 -1015]
 [  -19    21 -1013]
 ...
 [  -21    39 -1016]
 [   -5    29 -1013]
 [   -5     3 -1016]]"
M01_OP12_good_Feb_2021_M01_Feb_2021_OP12_005,M01,OP12,good,Feb_2021,M01_Feb_2021_OP12_005.h5,"[[   -3    33 -1013]
 [  -19     5 -1015]
 [  -11    29 -1020]
 ...
 [   -3    17 -1011]
 [   -7    35 -1007]
 [   -7     9 -1020]]"
M01_OP12_good_Feb_2021_M01_Feb_2021_OP12_006,M01,OP12,good,Feb_2021,M01_Feb_2021_OP12_006.h5,"[[  -17    40 -1015]
 [  -15    27 -1018]
 [  -11    33 -1011]
 ...
 [  -13    33 -1011]
 [  -19    29 -1016]
 [   -1    15 -1011]]"
M01_OP12_good_Feb_2021_M01_Feb_2021_OP12_007,M01,OP12,good,Feb_2021,M01_Feb_2021_OP12_007.h5,"[[   11    25 -1013]
 [   29    37 -1003]
 [   31    27 -1018]
 ...
 [  -13    15 -1011]
 [    9    15 -1018]
 [  -25    29 -1013]]"
M01_OP12_good_Feb_2021_M01_Feb_2021_OP12_008,M01,OP12,good,Feb_2021,M01_Feb_2021_OP12_008.h5,"[[  -17    11 -1015]
 [  -15    21 -1007]
 [  -17     7 -1015]
 ...
 [  -17     9 -1007]
 [   -7    15 -1015]
 [  -25    13 -1005]]"
M01_OP13_good_Aug_2019_M01_Aug_2019_OP13_000,M01,OP13,good,Aug_2019,M01_Aug_2019_OP13_000.h5,"[[-2.100e+01  2.100e+01 -1.013e+03]
 [-1.700e+01  3.700e+01 -9.950e+02]
 [-4.000e+01  3.500e+01 -1.024e+03]
 ...
 [-2.500e+01  1.900e+01 -1.024e+03]
 [ 0.000e+00  4.400e+01 -1.016e+03]
 [-7.000e+00 -1.000e+00 -1.011e+03]]"
M01_OP13_good_Aug_2019_M01_Aug_2019_OP13_001,M01,OP13,good,Aug_2019,M01_Aug_2019_OP13_001.h5,"[[  -19.    29. -1016.]
 [  -21.    21. -1016.]
 [  -15.    13. -1022.]
 ...
 [  -11.    13. -1013.]
 [   -9.    21. -1016.]
 [   -9.    27. -1011.]]"
